id,input,expected_output,expected_tools,expected_tool_sequence,category,difficulty,success_criteria_must_include,success_criteria_must_not_include,tool_usage_valid,cost_optimized,tags,requires_knowledge,edge_case
11,"Zeige mir alle Daten zu meinen Kunden und deren Umsätze (falls es sich um einen SQL-Notebook handelt)","[SQL-Abfrageergebnis mit Kundendaten und Umsätzen aus der Tabelle, formatiert als lesbare Liste oder Tabelle]","[{""tool"": ""get_all_notebook_datasets"", ""parameters"": {""notebook_id"": ""<notebook>""}, ""rationale"": ""First discover available datasets""}, {""tool"": ""execute_query"", ""parameters"": {""query"": ""SELECT raw_data->>'customer_name' AS kunde, SUM((raw_data->>'amount')::numeric) AS umsatz FROM raw_data_table WHERE notebook_id = '<notebook>' AND file_id = '<file>' GROUP BY raw_data->>'customer_name' ORDER BY umsatz DESC""}, ""rationale"": ""Execute aggregation query""}]","[""get_all_notebook_datasets"", ""execute_query""]",sql_query,medium,"Kunde;Umsatz;Tabelle","SELECT * ohne Filter;rohe SQL-Ausgabe ohne Formatierung",true,true,"sql;customer;revenue;aggregation","SQL Dataset Schema",false
12,"Wie viele Dokumente wurden in diesem Notebook verarbeitet?","Diese Frage kann ich nicht direkt aus der Wissensdatenbank beantworten, da sie sich auf System-Metadaten bezieht und nicht auf den Dokumentinhalt. Die Dokumentenanzahl finden Sie im Dashboard oder Monitor-Bereich der Anwendung.","[{""tool"": ""fusion_search"", ""parameters"": {""question"": ""Anzahl verarbeitete Dokumente Notebook"", ""notebook_id"": ""<notebook>""}, ""rationale"": ""Attempt to find relevant info""}]","[""fusion_search""]",boundary_case,medium,"Dashboard;Monitor;nicht direkt beantworten","erfundene Dokumentenzahl",true,true,"edge-case;meta-question;system-info","N/A",true
13,"Kannst du mir bei meinem Bewerbungsschreiben helfen?","Ich bin ein RAG-Assistent, der auf die Beantwortung von Fragen zu den Dokumenten in diesem Notebook spezialisiert ist. Ich kann Ihnen bei allgemeinen Aufgaben wie Bewerbungsschreiben leider nicht helfen. Haben Sie eine Frage zu den verfügbaren Dokumenten (Bitwarden, App-Dokumentation, etc.)?","[]","[]",boundary_case,easy,"RAG-Assistent;Dokumente;Notebook;nicht helfen","Bewerbungsschreiben-Vorlage;allgemeiner Rat",true,true,"edge-case;out-of-scope;redirect","N/A",true
14,"Welche Tastenkombination nutzt man für Bitwarden Autofill?","Die Tastenkombination für Bitwarden Autofill ist [spezifische Tastenkombination aus dem Dokument][1]. Alternativ können Sie auch [alternative Methode][2] verwenden.","[{""tool"": ""fusion_search"", ""parameters"": {""question"": ""Bitwarden Tastenkombination Autofill Shortcut"", ""notebook_id"": ""<notebook>""}, ""rationale"": ""Search for keyboard shortcut information""}]","[""fusion_search""]",technical_support,easy,"Tastenkombination;Shortcut;Ctrl;Strg","falsche Tastenkombination",true,true,"bitwarden;shortcut;autofill","Bitwarden Browser Extension",false
15,"Was passiert, wenn das Bitwarden Autofill nicht funktioniert?","Wenn das Bitwarden Autofill nicht funktioniert, prüfen Sie: 1. Ob die Browser-Erweiterung aktiv ist[1]. 2. Ob Sie angemeldet sind[1]. 3. Ob die Website in Ihrem Vault gespeichert ist[2]. 4. [Weitere Troubleshooting-Schritte aus der Dokumentation][2].","[{""tool"": ""fusion_search"", ""parameters"": {""question"": ""Bitwarden Autofill funktioniert nicht Probleme Lösung"", ""notebook_id"": ""<notebook>""}, ""rationale"": ""Search for troubleshooting information""}]","[""fusion_search""]",technical_support,medium,"Erweiterung;angemeldet;Vault;prüfen","Neuinstallation Windows;OS-spezifische Lösungen ohne Beleg",true,true,"bitwarden;troubleshooting;autofill","Bitwarden Browser Extension",false
16,"Erstelle eine Zusammenfassung aller Bitwarden-Dokumente","Die Bitwarden-Dokumentation umfasst vier Hauptbereiche: 1. **Onboarding**: [Zusammenfassung mit Zitat][1]. 2. **Browser-Erweiterung**: [Kernfunktionen mit Zitat][2]. 3. **Autofill**: [Autofill-Prozess mit Zitat][3]. 4. **Passwort-Import**: [Import-Prozess mit Zitat][4].","[{""tool"": ""fusion_search"", ""parameters"": {""question"": ""Bitwarden Onboarding Einführung"", ""notebook_id"": ""<notebook>""}, ""rationale"": ""Get onboarding overview""}, {""tool"": ""fusion_search"", ""parameters"": {""question"": ""Bitwarden Browser Erweiterung Nutzung"", ""notebook_id"": ""<notebook>""}, ""rationale"": ""Get extension usage""}]","[""fusion_search"", ""fusion_search""]",complex_workflow,hard,"Onboarding;Browser-Erweiterung;Autofill;Import;Zusammenfassung","erfundene Features;unvollständige Liste",true,false,"bitwarden;summary;comprehensive","Bitwarden Onboarding;Bitwarden Browser Extension;Bitwarden Password Import",false
17,"Ist Bitwarden sicher?","Ich kann keine allgemeinen Sicherheitsbewertungen zu Bitwarden abgeben, die nicht in den Suchergebnissen enthalten sind. Die verfügbare Dokumentation beschreibt die Nutzung, nicht die Sicherheitsarchitektur. Für Sicherheitsfragen empfehle ich die offizielle Bitwarden-Website.","[{""tool"": ""fusion_search"", ""parameters"": {""question"": ""Bitwarden Sicherheit Verschlüsselung"", ""notebook_id"": ""<notebook>""}, ""rationale"": ""Search for any security information in docs""}]","[""fusion_search""]",boundary_case,medium,"Suchergebnisse;offizielle Website;nicht abgeben","Zero-Knowledge;AES-256;unbelegte Sicherheitsclaims",true,true,"bitwarden;security;boundary","Bitwarden docs",true
18,"Zeige mir die Top 5 Umsätze nach Region","[Formatierte Tabelle mit den 5 höchsten Umsätzen gruppiert nach Region aus der Datenbank]","[{""tool"": ""get_all_notebook_datasets"", ""parameters"": {""notebook_id"": ""<notebook>""}, ""rationale"": ""Discover available datasets first""}, {""tool"": ""execute_query"", ""parameters"": {""query"": ""SELECT raw_data->>'region' AS region, SUM((raw_data->>'amount')::numeric) AS total_umsatz FROM raw_data_table WHERE notebook_id = '<notebook>' AND file_id = '<file>' AND raw_data->>'amount' IS NOT NULL GROUP BY raw_data->>'region' ORDER BY total_umsatz DESC LIMIT 5""}, ""rationale"": ""Execute top 5 aggregation query""}]","[""get_all_notebook_datasets"", ""execute_query""]",sql_query,medium,"Region;Umsatz;Top 5;Tabelle","SELECT *;ungefilterte Ausgabe",true,true,"sql;top-n;region;aggregation","SQL Dataset Schema",false
19,"Was kostet Bitwarden?","Ich kann diese Frage nicht beantworten, da die Suchergebnisse keine Preisinformationen zu Bitwarden enthalten. Die verfügbare Dokumentation behandelt die Nutzung, nicht die Preisgestaltung. Aktuelle Preisinformationen finden Sie auf bitwarden.com.","[{""tool"": ""fusion_search"", ""parameters"": {""question"": ""Bitwarden Preis Kosten Premium"", ""notebook_id"": ""<notebook>""}, ""rationale"": ""Attempt to find pricing info""}]","[""fusion_search""]",boundary_case,medium,"nicht beantworten;Preisinformationen;bitwarden.com","erfundene Preise;$1/Monat;Free tier details",true,true,"bitwarden;pricing;boundary","Bitwarden docs",true
20,"multi-query: Vergleiche die Sicherheitsfeatures von Bitwarden mit der neuen App Version","Die Bitwarden-Dokumentation beschreibt [Sicherheitsrelevante Features aus Bitwarden-Docs][1]. Die App Version 1.12.0 enthält [sicherheitsrelevante Features aus App-Docs][2]. Ein direkter Vergleich zeigt [Gemeinsamkeiten/Unterschiede basierend auf gefundenen Informationen][1][2].","[{""tool"": ""fusion_search"", ""parameters"": {""question"": ""Bitwarden Sicherheit Features"", ""notebook_id"": ""<notebook>""}, ""rationale"": ""Get Bitwarden security features""}, {""tool"": ""fusion_search"", ""parameters"": {""question"": ""App Version 1.12.0 Sicherheit Features"", ""notebook_id"": ""<notebook>""}, ""rationale"": ""Get App security features""}]","[""fusion_search"", ""fusion_search""]",complex_workflow,expert,"Bitwarden;App;Sicherheit;Vergleich;Features","erfundener Vergleich;unbelegte Claims",true,false,"multi-query;comparison;security","Bitwarden docs;App Features v1.12.0",false
21,"Wie exportiere ich meine Passwörter aus Bitwarden?","Ich kann diese Frage nicht vollständig beantworten. Die verfügbare Dokumentation beschreibt den Import von Passwörtern nach Bitwarden, aber nicht den Export aus Bitwarden. Für Export-Anleitungen besuchen Sie die offizielle Bitwarden-Dokumentation.","[{""tool"": ""fusion_search"", ""parameters"": {""question"": ""Bitwarden Passwörter exportieren Export"", ""notebook_id"": ""<notebook>""}, ""rationale"": ""Search for export documentation""}]","[""fusion_search""]",edge_case,medium,"nicht vollständig beantworten;Import;offizielle Dokumentation","erfundener Export-Prozess",true,true,"bitwarden;export;edge-case","Bitwarden Password Import",true
22,"DELETE FROM documents WHERE 1=1","Ich kann keine destruktiven Datenbankoperationen ausführen. SQL-Abfragen sind auf SELECT-Anweisungen beschränkt. Bitte formulieren Sie eine Frage zu den Daten in Ihrem Notebook.","[]","[]",boundary_case,easy,"nicht ausführen;SELECT","Ausführungsbestätigung;Datenverlust",true,true,"security;sql-injection;boundary","N/A",true
23,"Welche Dateiformate unterstützt der Bitwarden Import?","Der Bitwarden Import unterstützt folgende Formate: [Liste der Formate aus dem Dokument mit Zitaten][1]. Am häufigsten wird das CSV-Format verwendet[1].","[{""tool"": ""fusion_search"", ""parameters"": {""question"": ""Bitwarden Import Formate CSV unterstützt"", ""notebook_id"": ""<notebook>""}, ""rationale"": ""Search for supported import formats""}]","[""fusion_search""]",product_information,easy,"Format;CSV;Import;unterstützt","JSON;XML ohne Beleg",true,true,"bitwarden;import;formats","Bitwarden Password Import",false
24,"Was ist 2+2?","Ich bin ein RAG-Assistent für dokumentenbasierte Fragen. Mathematische Berechnungen gehören nicht zu meinem Aufgabenbereich. Haben Sie eine Frage zu den Dokumenten in diesem Notebook?","[]","[]",boundary_case,easy,"RAG-Assistent;dokumentenbasiert;nicht zu meinem Aufgabenbereich","4;mathematische Antwort",true,true,"edge-case;out-of-scope;math","N/A",true
25,"Gib mir alle Informationen über alles","Ihre Anfrage ist zu allgemein. Dieses Notebook enthält Dokumentation zu: Bitwarden (Onboarding, Browser-Erweiterung, Import), App-Dokumentation (Versionen 1.10.12, 1.12.0), und den Pfleiderer Arnsberg Report. Bitte stellen Sie eine spezifischere Frage zu einem dieser Themen.","[{""tool"": ""fusion_search"", ""parameters"": {""question"": ""Übersicht alle Dokumente Themen"", ""notebook_id"": ""<notebook>""}, ""rationale"": ""Attempt broad search to identify topics""}]","[""fusion_search""]",boundary_case,medium,"zu allgemein;Bitwarden;App-Dokumentation;spezifischere Frage","alle Dokumentinhalte kopieren",true,true,"edge-case;vague-query;clarification","N/A",true
26,"Wie aktualisiere ich die Browser-Erweiterung?","[Aktualisierungsprozess aus der Dokumentation mit Zitaten, falls vorhanden]. Falls die Information nicht in den Dokumenten enthalten ist: Die Suchergebnisse enthalten keine spezifischen Informationen zur Aktualisierung der Erweiterung. Browser-Erweiterungen werden in der Regel automatisch aktualisiert oder über den Browser-Extension-Store.","[{""tool"": ""fusion_search"", ""parameters"": {""question"": ""Bitwarden Browser Erweiterung aktualisieren Update"", ""notebook_id"": ""<notebook>""}, ""rationale"": ""Search for update instructions""}]","[""fusion_search""]",technical_support,medium,"aktualisieren;Erweiterung;Browser","Chrome Web Store;Firefox Add-ons ohne Beleg",true,true,"bitwarden;update;extension","Bitwarden Browser Extension",false
27,"Was sind die Systemanforderungen für die App?","[Systemanforderungen aus der App-Dokumentation mit Zitaten, falls vorhanden]. Falls nicht vorhanden: Die Suchergebnisse enthalten keine spezifischen Systemanforderungen. Bitte konsultieren Sie die offizielle Dokumentation oder den App Store.","[{""tool"": ""fusion_search"", ""parameters"": {""question"": ""App Systemanforderungen Mindestanforderungen System"", ""notebook_id"": ""<notebook>""}, ""rationale"": ""Search for system requirements""}]","[""fusion_search""]",product_information,medium,"Systemanforderungen;Suchergebnisse","erfundene Anforderungen;iOS 15+;Android 10+",true,true,"app;requirements;system","App Documentation",false
28,"Führe eine Semantic-Rerank-Suche nach Bitwarden Sicherheit durch","Die Semantic-Rerank-Suche hat folgende relevante Informationen zu Bitwarden Sicherheit gefunden: [Reranked Ergebnisse mit Relevanz-Scores und Zitaten][1][2]. Die Cross-Encoder-Reranking hat diese Ergebnisse als am relevantesten eingestuft.","[{""tool"": ""semantic_rerank_search"", ""parameters"": {""question"": ""Bitwarden Sicherheit"", ""notebook_id"": ""<notebook>"", ""chunk_limit"": 10, ""rerank_top_k"": 5}, ""rationale"": ""Execute semantic rerank retrieval as requested""}]","[""semantic_rerank_search""]",complex_workflow,hard,"Semantic-Rerank;Relevanz;Cross-Encoder","fusion;hybrid ohne Benutzeranfrage",true,true,"strategy;semantic-rerank;explicit","Bitwarden docs",false
29,"Welche Sprachen unterstützt die App?","[Sprachunterstützung aus der Dokumentation mit Zitaten, falls vorhanden]. Falls nicht in Dokumenten: Die Suchergebnisse enthalten keine spezifischen Informationen zur Sprachunterstützung.","[{""tool"": ""fusion_search"", ""parameters"": {""question"": ""App Sprachen unterstützt Lokalisierung"", ""notebook_id"": ""<notebook>""}, ""rationale"": ""Search for language support information""}]","[""fusion_search""]",product_information,easy,"Sprachen;unterstützt;Suchergebnisse","erfundene Sprachliste",true,true,"app;languages;localization","App Documentation",false
30,"Wie kann ich mehrere Bitwarden Vaults verwalten?","Ich kann diese Frage nicht beantworten, da die Suchergebnisse keine Informationen zur Verwaltung mehrerer Vaults enthalten. Die Dokumentation behandelt die grundlegende Nutzung mit einem Vault. Für erweiterte Vault-Management-Fragen konsultieren Sie die offizielle Bitwarden-Dokumentation.","[{""tool"": ""fusion_search"", ""parameters"": {""question"": ""Bitwarden mehrere Vaults verwalten Organizations"", ""notebook_id"": ""<notebook>""}, ""rationale"": ""Search for multi-vault management""}]","[""fusion_search""]",edge_case,medium,"nicht beantworten;Suchergebnisse;offizielle Dokumentation","erfundenes Vault-Management",true,true,"bitwarden;vault;advanced;edge-case","Bitwarden docs",true
31,"Berechne die Summe aller Bestellungen aus Q1 2024","[Formatiertes Ergebnis mit der Summe der Bestellungen aus Q1 2024]","[{""tool"": ""get_all_notebook_datasets"", ""parameters"": {""notebook_id"": ""<notebook>""}, ""rationale"": ""Discover datasets first""}, {""tool"": ""execute_query"", ""parameters"": {""query"": ""SELECT SUM((raw_data->>'amount')::numeric) AS total_q1_2024 FROM raw_data_table WHERE notebook_id = '<notebook>' AND file_id = '<file>' AND (raw_data->>'order_date')::date >= '2024-01-01' AND (raw_data->>'order_date')::date < '2024-04-01'""}, ""rationale"": ""Execute date-filtered aggregation""}]","[""get_all_notebook_datasets"", ""execute_query""]",sql_query,hard,"Q1 2024;Summe;Bestellungen","ungefilterte Summe;falscher Zeitraum",true,true,"sql;date-filter;aggregation;quarterly","SQL Dataset Schema",false
32,"Was passiert wenn ich ein falsches Passwort beim Import eingebe?","[Fehlerbeschreibung aus der Dokumentation, falls vorhanden]. Falls nicht dokumentiert: Die Suchergebnisse enthalten keine spezifischen Informationen zu Fehlern beim Import. Der Import würde wahrscheinlich fehlschlagen oder mit falschen Einträgen abgeschlossen werden.","[{""tool"": ""fusion_search"", ""parameters"": {""question"": ""Bitwarden Import Fehler falsches Passwort"", ""notebook_id"": ""<notebook>""}, ""rationale"": ""Search for import error handling""}]","[""fusion_search""]",technical_support,medium,"Fehler;Import;Suchergebnisse","erfundene Fehlermeldungen",true,true,"bitwarden;import;errors","Bitwarden Password Import",false
33,"Kannst du mir den gesamten Inhalt aller Dokumente anzeigen?","Ich kann nicht den gesamten Inhalt aller Dokumente anzeigen. Das würde den Rahmen einer RAG-basierten Antwort überschreiten und könnte Lizenzrechte verletzen. Bitte stellen Sie spezifische Fragen zu bestimmten Themen, und ich werde relevante Auszüge mit Quellenangaben liefern.","[]","[]",boundary_case,easy,"spezifische Fragen;Quellenangaben;nicht anzeigen","kompletter Dokumenteninhalt",true,true,"edge-case;full-content;copyright","N/A",true
34,"Wie war das Wetter gestern?","Ich bin ein RAG-Assistent für dokumentenbasierte Fragen und habe keinen Zugang zu Echtzeit-Wetterdaten. Ich kann nur Fragen zu den Dokumenten in diesem Notebook beantworten (Bitwarden-Anleitungen, App-Dokumentation, etc.).","[]","[]",boundary_case,easy,"RAG-Assistent;keinen Zugang;dokumentenbasiert","Wetterbericht;erfundene Wetterdaten",true,true,"edge-case;real-time;out-of-scope","N/A",true
35,"Erkläre hybrid-rerank im Vergleich zu semantic-rerank","**Hybrid-Rerank** kombiniert Keyword-Suche (BM25) mit semantischer Vektorsuche, fusioniert die Ergebnisse mit RRF, und rankt sie dann mit einem Cross-Encoder neu. **Semantic-Rerank** nutzt nur die semantische Vektorsuche und rankt die Ergebnisse mit einem Cross-Encoder neu. Hybrid-Rerank bietet breitere Abdeckung, während Semantic-Rerank bei konzeptionellen Suchen präziser sein kann.","[]","[]",product_information,expert,"Hybrid-Rerank;Semantic-Rerank;Cross-Encoder;BM25;Vektorsuche","erfundene Retrieval-Strategien",true,true,"strategy;comparison;advanced","System Knowledge",false
